Genus	year	Date submitted	Case_Reference	Case_number	Collection_(clean)	Plate	Remarks	Patient / Shed Number	Species type	Specimen	Info/Nota	Amp 25-d	Amc 30-d	CL 100-d	Eft 30-d	Enr 5-d	Te 30-d	SF 300-d	W 5-d	Cn10-d	Ery 5-d	Tic 75-d	Ak 30-d
Proteus	2011	22/7/11	CM2011-0422 Box 10 Tube 63	CM2011-0422	Box 10 Tube 63	P6	not sent	273459	Canine	urinary	Catheter urine.	S	S	S	.	S	S	S	S	.	.	.	.
Proteus	2011	24/8/11	CM2011-0496 Box 10 Tube 87	CM2011-0496	Box 10 Tube 87	P7	not sent	269115	Canine	urinary	Swab of urine.	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2011	25/8/11	CM2011-0498 Box 10 Tube 89	CM2011-0498	Box 10 Tube 89	P8	not sent	271818	Canine	urinary	Cystocentesis	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2011	16/9/11	CM2011-0551 Box 11 Tube 9	CM2011-0551	Box 11 Tube 9	K21	not sent	274851	Equine	respiratory	tracheal wash	R	.	.	S	S	S	S	S	S	.	R	.
Proteus	2011	19/9/11	CM2011-0554 Box 11 Tube 10	CM2011-0554	Box 11 Tube 10	P9	not sent	274886	Canine	urinary	Cystocentesis	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2011	24/10/11	CM2011-0644 Box 11 Tube 36	CM2011-0644	Box 11 Tube 36	P10	not sent	275501	Canine	urinary	Urine	S	S	S	.	S	R	R	R	.	.	.	.
Klebsiella	2011	3/11/11	CM2011-0676 Box 11 Tube 46	CM2011-0676	Box 11 Tube 46	K22	not sent	228713	Canine	urinary	Free catch urine	R	R	S	.	S	S	R	S	.	.	.	.
Klebsiella	2011	24/11/11	CM2011-0745 Box 11 Tube 68	CM2011-0745	Box 11 Tube 68	K23	not sent	276268	Canine	skin and subcutis	Swab from dog fight wound.	R	R	R	.	S	S	S	S	.	.	.	.
Klebsiella	2011	28/11/11	CM2011-0752 Box 11 Tube 73	CM2011-0752	Box 11 Tube 73	K24	not sent	276586	Canine	respiratory	BAL x2	R	S	S	.	S	S	R	S	.	.	.	.
Proteus	2011	5/12/11	CM2011-0769 Box 11 Tube 78	CM2011-0769	Box 11 Tube 78	P11	not sent	208016	Canine	urinary	Cystocentesis	S	S	S	.	S	R	S	R	.	.	.	.
Proteus	2011	5/12/11	CM2011-0775 Box 11 Tube 80	CM2011-0775	Box 11 Tube 80	P12	not sent	235341	Canine	urinary	Cystocentesis	S	S	S	.	S	R	S	R	.	.	.	.
Klebsiella	2011	6/12/11	CM2011-0777 Box 11 Tube 81	CM2011-0777	Box 11 Tube 81	K25	not sent	276577	Equine	skin and subcutis	Swab from incitional infection	R	.	.	R	S	R	R	R	R	.	R	.
Proteus	2012	2/2/12	CM2012-0067 Box 12 Tube 19	CM2012-0067	Box 12 Tube 19	P13	not sent	278064	Canine	urinary	Cystocentesis	S	S	S	.	S	R	R	R	.	.	.	.
Proteus	2012	2/2/12	CM2012-0068 Box 12 Tube 20	CM2012-0068	Box 12 Tube 20	P14	not sent	273863	Canine	urinary	Free catch urine	R	R	R	.	S	R	R	S	.	.	.	.
Escherichia	2012	6/2/12	CM2012-0078 Box 12 Tube 22	CM2012-0078	Box 12 Tube 22	Ec-818	not sent	278164	Ovine	digestive	Pooled Bile Illeal content and caecal content from 3 animals	S	.	.	S	S	S	S	S	S	.	S	.
Klebsiella	2012	28/2/12	CM2012-0135 Box 12 Tube 34	CM2012-0135	Box 12 Tube 34	K26	not sent	275501	Canine	urinary	Cystocentesis.	R	S	S	.	S	S	R	S	.	.	.	.
Proteus	2012	8/3/12	CM2012-0169 Box 12 Tube 37	CM2012-0169	Box 12 Tube 37	P15	not sent	271232	Canine	urinary	Urine and bladder wall	S	S	S	.	S	R	S	S	.	.	.	.
Escherichia	2012	14/3/12	CM2012-0189 Box 12 Tube 43	CM2012-0189	Box 12 Tube 43	Ec-819	not sent	278980	Equine	systemic or large cavities	abdominal fluid	S	.	.	S	S	S	S	S	S	.	S	.
Proteus	2012	30/3/12	CM2012-0234 Box 12 Tube 51	CM2012-0234	Box 12 Tube 51	P16	not sent	1643	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2012	11/4/12	CM2012-0257 Box 12 Tube 55	CM2012-0257	Box 12 Tube 55	P17	not sent	NA	Avian	systemic or large cavities	Yolk swabs birds A-D	.	.	.	.	.	.	.	.	.	.	.	.
Proteus	2012	23/4/12	CM2012-0284 Box 12 Tube 58	CM2012-0284	Box 12 Tube 58	P18	not sent	279886	Canine	urinary	Urine	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2012	30/4/12	CM2012-0292 Box 12 Tube 62	CM2012-0292	Box 12 Tube 62	P19	not sent	257339	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	R	S	.	.	.	.
Proteus	2012	2/8/12	CM2012-0455 Box 13 Tube 22	CM2012-0455	Box 13 Tube 22	P20	not sent	281714	Canine	urinary	Catheter urine	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2012	6/8/12	CM2012-0464 Box 13 Tube 23	CM2012-0464	Box 13 Tube 23	P21	not sent	224338	Canine	ear	ear swab	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2012	6/8/12	CM2012-0466 Box 13 Tube 26	CM2012-0466	Box 13 Tube 26	K27	not sent	224338	Canine	digestive	ET Tube	R	S	S	.	S	S	R	S	.	.	.	.
Proteus	2012	21/8/12	CM2012-0503 Box 13 Tube 33	CM2012-0503	Box 13 Tube 33	P22	not sent	282028	Canine	skin and subcutis	Mammary lesion	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2012	18/9/12	CM2012-0546 Box 13 Tube 64	CM2012-0546	Box 13 Tube 64	P23	not sent	203410	Canine	respiratory	ET tube swab and BAL	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2012	27/9/12	CM2012-0568 Box 13 Tube 69	CM2012-0568	Box 13 Tube 69	P24	not sent	282684	Canine	urinary	Cystocentesis.	S	S	S	.	S	S	R	S	.	.	.	.
Proteus	2012	1/11/12	CM2012-0662 Box 13 Tube 74	CM2012-0662	Box 13 Tube 74	P25	not sent	283474	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2012	18/10/12	CM2012-0617 Box 13 Tube 77	CM2012-0617	Box 13 Tube 77	P26	not sent	260075	Canine	reproductive	Vaginal swab and cystocentesis..	S	S	S	.	R	R	S	S	.	.	.	.
Proteus	2012	19/10/12	CM2012-0624 Box 13 Tube 78	CM2012-0624	Box 13 Tube 78	P27	not sent	283211	Feline	urinary	Urine	S	S	S	.	.	R	S	S	.	.	.	.
Klebsiella	2012	8/11/12	CM2012-0686 Box 14 Tube 14	CM2012-0686	Box 14 Tube 14	K28	not sent	283553	Equine	systemic or large cavities	peritoneal fluid	R	.	.	S	S	S	R	R	R	.	R	.
Klebsiella	2012	13/11/12	CM2012-0695 Box 14 Tube 19	CM2012-0695	Box 14 Tube 19	K29	not sent	221032	Canine	urinary	Urine	R	S	S	.	S	S	S	S	.	.	.	.
Klebsiella	2012	19/11/12	CM2012-0714 Box 14 Tube 22	CM2012-0714	Box 14 Tube 22	K30	not sent	38808	Canine	urinary	Cystocentesis	R	R	R	.	R	R	R	R	.	R	R	S
Klebsiella	2012	5/12/12	CM2012-0769 Box 14 Tube 32	CM2012-0769	Box 14 Tube 32	K31	not sent	283211	Feline	urinary	Cystocentesis.	R	S	S	.	S	S	R	S	.	.	.	.
Klebsiella	2013	11/1/13	CM2013-0023 Box 14 Tube 45	CM2013-0023	Box 14 Tube 45	K32	not sent	284225	Canine	urinary	Cystocentesis.	R	R	R	.	S	S	S	S	.	.	.	.
Klebsiella	2013	15/1/13	CM2013-0032 Box 14 Tube 47	CM2013-0032	Box 14 Tube 47	K33	not sent	285019	Canine	respiratory	BAL	R	S	S	.	S	S	S	S	.	.	.	.
Proteus	2013	21/1/13	CM2013-0052 Box 14 Tube 50	CM2013-0052	Box 14 Tube 50	P28	not sent	285133	Feline	urinary	Cystocentesis.	S	S	S	.	.	R	S	S	.	.	.	.
Proteus	2013	21/1/13	CM2013-0053 Box 14 Tube 51	CM2013-0053	Box 14 Tube 51	P29	not sent	269965	Canine	urinary	Urine	S	S	S	.	.	R	S	S	.	.	.	.
Klebsiella	2013	29/1/13	CM2013-0072 Box 14 Tube 55	CM2013-0072	Box 14 Tube 55	K34	not sent	284588	Canine	respiratory	Swab of endotracheal tube.	S	R	S	.	S	S	R	S	.	.	S	.
Proteus	2013	11/2/13	CM2013-0111 Box 14 Tube 63	CM2013-0111	Box 14 Tube 63	P30	not sent	264658	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2013	3/4/13	CM2013-0259 Box 15 Tube 7	CM2013-0259	Box 15 Tube 7	K35	not sent	286526	Equine	skin and subcutis	Swabs from incisional infection	R	S	.	R	S	R	R	R	R	.	R	S
Klebsiella	2013	23/4/13	CM2013-0324 Box 15 Tube 18	CM2013-0324	Box 15 Tube 18	K36	not sent	386-13	Exotic/other	respiratory	Lung tissue	S	R	S	.	S	S	R	S	.	.	.	.
Klebsiella	2013	5/9/13	CM2013-0672 Box 15 Tube 80	CM2013-0672	Box 15 Tube 80	K37	not sent	289449	Equine	reproductive	"Fluid from uterus, post foaling"	R	.	.	R	S	R	R	R	R	.	R	S
Klebsiella	2013	9/9/13	CM2013-0684 Box 16 Tube 1	CM2013-0684	Box 16 Tube 1	K38	not sent	284449	Equine	reproductive	Uterine swab	R	.	.	R	S	R	R	R	R	.	R	S
Proteus	2013	29/11/13	CM2013-0913 Box 16 Tube 35	CM2013-0913	Box 16 Tube 35	P31	not sent	287462	Equine	musculo-skeletal	Granulation tissue	R	S	S	S	R	R	R	R	R	.	S	S
Proteus	2014	24/1/14	CM2014-0061 Box 16 Tube 56	CM2014-0061	Box 16 Tube 56	P32	not sent	292304	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	S	R	.	.	.	.
Proteus	2014	23/4/14	CM2014-0250 Box 16 Tube 78	CM2014-0250	Box 16 Tube 78	P33	not sent	293952	Canine	urinary	Urine	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2014	20/5/14	CM2014-0317 Box 17 Tube 10	CM2014-0317	Box 17 Tube 10	K39	not sent	294583	Canine	urinary	Cystocentesis.	R	S	S	.	S	S	S	S	.	.	.	.
Proteus	2014	20/5/14	CM2014-0319 Box 17 Tube 12	CM2014-0319	Box 17 Tube 12	P34	not sent	281810	Feline	urinary	Urine and catheter tip	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2014	27/5/14	CM2014-0338 Box 17 Tube 21	CM2014-0338	Box 17 Tube 21	P35	not sent	294702	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2014	4/7/14	CM2014-0441 Box 17 Tube 45	CM2014-0441	Box 17 Tube 45	K40	not sent	295371	Equine	musculo-skeletal	Joint fluid in culture bottle	R	.	.	S	S	S	R	R	S	.	R	.
Proteus	2014	7/7/14	CM2014-0446 Box 17 Tube 48	CM2014-0446	Box 17 Tube 48	P36	not sent	295371	Equine	musculo-skeletal	Fibrin	S	.	.	S	S	S	S	R	S	.	S	.
Klebsiella	2014	7/7/14	CM2014-0446 Box 17 Tube 49	CM2014-0446	Box 17 Tube 49	K41	not sent	295371	Equine	musculo-skeletal	Fibrin	R	.	.	S	S	S	S	S	S	.	R	.
Proteus	2014	7/8/14	CM2014-0531 Box 17 Tube 60	CM2014-0531	Box 17 Tube 60	P37	not sent	277513	Canine	ear	L+ R ear swabs	S	S	S	.	S	R	S	S	S	.	S	S
Proteus	2014	9/9/14	CM2014-0631 Box 18 Tube 6	CM2014-0631	Box 18 Tube 6	P38	not sent	287002	Canine	skin and subcutis	Anal gland swab	S	S	S	.	S	R	R	S	.	.	.	.
Proteus	2014	6/10/14	CM2014-0709 Box 18 Tube 19	CM2014-0709	Box 18 Tube 19	P39	not sent	270392	Canine	skin and subcutis	Anal gland and swab	S	S	S	.	S	R	R	S	.	.	.	.
Proteus	2014	30/10/14	CM2014-0794 Box 18 Tube 41	CM2014-0794	Box 18 Tube 41	P40	not sent	297426	Canine	ear	ear swab	S	S	S	.	S	R	S	S	S	.	.	.
Proteus	2015	23/3/15	CM2015-0174 Box 19 Tube 45	CM2015-0174	Box 19 Tube 45	P41	not sent	299994	Canine	ear	Swab and bulla epithelium from R ear.	S	S	S	.	S	R	S	S	S	.	S	S
Klebsiella	2015	19/5/15	CM2015-0362 Box 19 Tube 52	CM2015-0362	Box 19 Tube 52	K42	not sent	297925	Canine	urinary	Cystocentesis.	R	S	S	.	S	S	R	S	.	.	.	.
Proteus	2015	1/6/15	CM2015-0399 Box 19 Tube 59	CM2015-0399	Box 19 Tube 59	P42	not sent	301037	Canine	urinary	Cystocentesis.	S	S	S	.	R	R	S	R	.	.	.	.
Proteus	2015	17/6/15	CM2015-0460 Box 19 Tube 68	CM2015-0460	Box 19 Tube 68	P43	not sent	301037	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2015	19/6/15	CM2015-0472 Box 19 Tube 71	CM2015-0472	Box 19 Tube 71	P44	not sent	301126	Canine	urinary	Cystocentesis.	S	S	S	.	S	S	S	S	.	.	.	.
Proteus	2015	14/7/15	CM2015-0550 Box 19 Tube 79	CM2015-0550	Box 19 Tube 79	P45	not sent	301126	Canine	urinary	Urine	R	S	S	.	S	S	R	R	.	.	.	.
Proteus	2015	31/7/15	CM2015-0620 Box 20 Tube 8	CM2015-0620	Box 20 Tube 8	P46	not sent	301029	Canine	urinary	Cystocentesis	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2015	25/8/15	CM2015-0724 Box 20 Tube 20	CM2015-0724	Box 20 Tube 20	P47	not sent	301037	Canine	urinary	Cystocentesis	R	S	S	.	S	R	R	R	.	.	.	.
Proteus	2015	1/9/15	CM2015-0747 Box 20 Tube 24	CM2015-0747	Box 20 Tube 24	P48	not sent	48067	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	R	R	.	.	.	.
Proteus	2015	10/12/15	CM2015-1125 Box 20 Tube 66	CM2015-1125	Box 20 Tube 66	P49	not sent	301037	Canine	urinary	Cystocentesis.	R	S	S	.	S	R	R	R	.	.	.	.
Proteus	2015	15/12/15	CM2015-1144 Box 21 Tube 10	CM2015-1144	Box 21 Tube 10	P50	not sent	209793	Canine	urinary	Free catch urine	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2015	9/11/15	CM2015-0996 Box 21 Tube 11	CM2015-0996	Box 21 Tube 11	P51	not sent	304670	Equine	musculo-skeletal	Pedal bone sequestrum	S	.	.	S	S	R	S	S	S	.	S	S
Klebsiella	2016	15/2/16	CM2016-0102 Box 21 Tube 45	CM2016-0102	Box 21 Tube 45	K43	not sent	289147	Feline	urinary	Renal aspirate and Cystocentesis.	R	S	S	.	S	S	R	S	.	.	.	.
Klebsiella	2016	23/2/16	CM2016-0130 Box 21 Tube 48	CM2016-0130	Box 21 Tube 48	K44	not sent	261578	Canine	respiratory	Blind BAL	R	S	S	.	S	S	R	S	.	.	.	.
Klebsiella	2016	1/3/16	CM2016-0159 Box 21 Tube 52	CM2016-0159	Box 21 Tube 52	K45	not sent	289147	Feline	urinary	Cystocentesis	R	S	S	.	S	S	R	S	.	.	.	.
Proteus	2016	7/3/16	CM2016-0178 Box 21 Tube 57	CM2016-0178	Box 21 Tube 57	P52	not sent	261359	Canine	skin and subcutis	Swab from mammary resection	S	S	S	.	S	S	S	S	.	.	.	.
Klebsiella	2016	19/4/16	CM2016-0294 Box 21 Tube 67	CM2016-0294	Box 21 Tube 67	K46	not sent	308408	Canine	reproductive	Pyometra swab	R	S	S	.	S	S	R	S	.	.	.	.
Proteus	2016	27/4/16	CM2016-0323 Box 21 Tube 73	CM2016-0323	Box 21 Tube 73	P53	not sent	308587	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2016	5/5/16	CM2016-0352 Box 21 Tube 79	CM2016-0352	Box 21 Tube 79	K47	not sent	308333 / 447-16	Ovine	urinary	Urine and Kidney	R	S	S	.	R	R	R	R	.	.	.	.
Klebsiella	2016	10/6/16	CM2016-0479 Box 22 Tube 17	CM2016-0479	Box 22 Tube 17	K48	not sent	309347	Canine	urinary	Cystocentesis.	R	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2016	1/7/16	CM2016-0541 Box 22 Tube 24	CM2016-0541	Box 22 Tube 24	Ec-820	not sent	309838	Canine	urinary	Cystocentesis.	S	S	S	.	S	S	R	S	.	.	.	.
Proteus	2016	5/7/16	CM2016-0558 Box 22 Tube 28	CM2016-0558	Box 22 Tube 28	P54	not sent	293272	Canine	urinary	Urine	S	S	S	.	S	R	S	S	S	.	.	.
Proteus	2016	23/8/16	CM2016-0741 Box 22 Tube 58	CM2016-0741	Box 22 Tube 58	P55	not sent	303771	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	R	R	.	.	.	.
Proteus	2016	26/9/16	CM2016-0899 Box 23 Tube 5	CM2016-0899	Box 23 Tube 5	P56	not sent	255170	Canine	urinary	Urine	S	S	S	.	S	R	S	S	.	.	.	.
